,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data
0,0.069999695,0.9056798,-0.4998759,-9.76746,0.002730256,0.0013383321,-0.0022307057,-14.391508,19.456753,43.216537,1,-0.016762499,-0.0707732,-0.36873245,-0.004745938,-0.014146681,-0.09250406,1
1,0.07999992,0.9056798,-0.4998759,-9.76746,0.0060445503,0.0021338195,-0.0007767469,-14.391954,19.52042,43.216454,1,-0.016819604,-0.07094294,-0.36984348,-0.0047723907,-0.014141635,-0.09267176,0
2,0.0899992,0.90568453,-0.49988055,-9.767466,0.0063877436,0.0028841954,0.009871537,-14.391954,19.52042,43.216454,0,-0.01686265,-0.0710702,-0.3706781,-0.004792846,-0.014135731,-0.09279871,0
3,0.09999943,0.9056798,-0.4998759,-9.767462,0.0051673674,0.0024803495,0.011437818,-14.391508,19.456753,43.216537,1,-0.016905867,-0.07119739,-0.37151384,-0.0048106876,-0.014128157,-0.092924505,0
4,0.10999966,0.9056798,-0.4998759,-9.767462,0.0075249686,0.004345006,0.020385504,-14.3899765,19.393,43.29087,1,-0.016043535,-0.07046716,-0.36388636,-0.0023744265,-0.01673583,-0.08821048,1
5,0.119999886,0.9056893,-0.49988526,-9.767469,0.005664867,0.0020149483,0.020419544,-14.393039,19.520504,43.142212,1,-0.016064912,-0.07061783,-0.36468083,-0.0023746446,-0.016744206,-0.08833399,0
6,0.13000011,0.9056798,-0.4998759,-9.767462,0.004265141,0.0024437294,0.020325724,-14.393039,19.520504,43.142212,0,-0.01608627,-0.07076856,-0.36547637,-0.002370796,-0.01675148,-0.08845511,0
7,0.13999939,0.9056798,-0.4998759,-9.767462,0.005247572,-0.0019881101,0.01089088,-14.328363,19.392637,43.217705,1,-0.016114686,-0.07096963,-0.36653876,-0.0023654932,-0.016760746,-0.08861662,0
8,0.14999962,0.90571785,-0.5185414,-9.767499,0.0020923386,0.0023508184,0.002941642,-14.455289,19.457283,43.141216,1,-0.016136214,-0.07112038,-0.36733687,-0.0024510338,-0.016721122,-0.08874379,0
9,0.15999985,0.9056799,-0.51910365,-9.767462,0.0032071115,0.0026766807,-0.004507036,-14.267643,19.519611,43.14438,1,-0.016158944,-0.07127054,-0.36813614,-0.0026010796,-0.016643561,-0.08887343,0
10,0.17000008,0.9056798,-0.5191048,-9.767462,0.0037506092,0.0026890086,-0.017757129,-14.328173,19.51989,43.291786,1,-0.016191367,-0.07146963,-0.36920363,-0.0028033317,-0.016533613,-0.08904627,0
11,0.17999935,0.90583193,-0.5024297,-9.750469,0.0058190897,0.0006489782,-0.023476806,-14.328173,19.51989,43.291786,0,-0.016217226,-0.07161808,-0.37000555,-0.0029173286,-0.01647326,-0.08912276,0
12,0.18999958,0.9056801,-0.49988085,-9.747872,0.0070548006,-0.005701543,-0.030918753,-14.330341,19.520058,43.143295,1,-0.016243564,-0.071766354,-0.3708074,-0.002936544,-0.01647669,-0.08906961,0
13,0.19999981,0.9056798,-0.4998759,-9.747867,0.010323524,0.0008511726,-0.031624675,-14.329895,19.45639,43.14338,1,-0.016734479,-0.06977592,-0.36229336,-0.006818162,-0.012686239,-0.07904479,1
14,0.21000004,0.89137644,-0.514598,-9.748173,0.01267164,-0.001532735,-0.029646862,-14.330341,19.520058,43.143295,1,-0.016796065,-0.069889925,-0.3630045,-0.006878828,-0.01260872,-0.07898028,0
15,0.21999931,0.88621294,-0.51909596,-9.747867,0.011897266,0.0025570388,-0.022784352,-14.330341,19.520058,43.143295,0,-0.016858459,-0.07000228,-0.36371502,-0.006985978,-0.012356959,-0.0789096,0
16,0.22999954,0.8862029,-0.5191048,-9.747867,0.009939794,0.0005522936,-0.015787283,-14.329895,19.45639,43.14338,1,-0.016943121,-0.07014853,-0.3646614,-0.0071235443,-0.012016459,-0.07881504,0
17,0.23999977,0.8862029,-0.5191048,-9.747867,0.00821552,-0.005885618,-0.007802753,-14.391954,19.52042,43.216454,1,-0.017007684,-0.070255525,-0.36537042,-0.0072237733,-0.011761443,-0.07874413,0
18,0.25,0.92508304,-0.5191071,-9.747869,0.006729366,-0.0013401367,0.0025302214,-14.392592,19.456837,43.142296,1,-0.017073857,-0.070361525,-0.3660789,-0.00748528,-0.011801757,-0.0787035,0
